agent,seed,episodes,steps,risk_scale,reward_total,reward_env_total,filename
control,42,100,,0.5,-21.1926,-21.1926,results\v11\F0_baseline\grid16\risklow\control\grid16_risklow_seed42_v11_episodes.csv
dqn_control,42,100,,0.5,-24.075599999999998,-24.075599999999994,results\v11\F0_baseline\grid16\risklow\dqn_control\grid16_risklow_seed42_v11_episodes.csv
simbiosis,42,100,,0.5,15.123118966745535,-22.344900000000003,results\v11\F0_baseline\grid16\risklow\simbiosis\grid16_risklow_seed42_v11_episodes.csv
control,42,100,,0.5,-18.842200000000002,-18.842200000000012,results\v11\F0_baseline\grid8\risklow\control\grid8_risklow_seed42_v11_episodes.csv
dqn_control,42,100,,0.5,-24.075599999999998,-24.075599999999994,results\v11\F0_baseline\grid8\risklow\dqn_control\grid8_risklow_seed42_v11_episodes.csv
simbiosis,42,100,,0.5,14.611118966745533,-22.984900000000003,results\v11\F0_baseline\grid8\risklow\simbiosis\grid8_risklow_seed42_v11_episodes.csv
control,101,200,,1.2,-57.41035,-57.41035000000001,results\v11\F1_highrisk\grid16\riskhigh\control\grid16_riskhigh_r1p2_seed101_v11_episodes.csv
control,13,200,,1.2,-57.26870000000001,-57.268699999999995,results\v11\F1_highrisk\grid16\riskhigh\control\grid16_riskhigh_r1p2_seed13_v11_episodes.csv
control,42,200,,1.2,-57.22945,-57.229449999999986,results\v11\F1_highrisk\grid16\riskhigh\control\grid16_riskhigh_r1p2_seed42_v11_episodes.csv
control,7,200,,1.2,-57.17645,-57.176450000000024,results\v11\F1_highrisk\grid16\riskhigh\control\grid16_riskhigh_r1p2_seed7_v11_episodes.csv
control,99,200,,1.2,-57.2474,-57.24739999999999,results\v11\F1_highrisk\grid16\riskhigh\control\grid16_riskhigh_r1p2_seed99_v11_episodes.csv
dqn_control,101,200,,1.2,-59.98825,-59.98825000000001,results\v11\F1_highrisk\grid16\riskhigh\dqn_control\grid16_riskhigh_r1p2_seed101_v11_episodes.csv
dqn_control,13,200,,1.2,-60.06354999999999,-60.063549999999985,results\v11\F1_highrisk\grid16\riskhigh\dqn_control\grid16_riskhigh_r1p2_seed13_v11_episodes.csv
dqn_control,42,200,,1.2,-60.0075,-60.00749999999997,results\v11\F1_highrisk\grid16\riskhigh\dqn_control\grid16_riskhigh_r1p2_seed42_v11_episodes.csv
dqn_control,7,200,,1.2,-60.015249999999995,-60.01524999999998,results\v11\F1_highrisk\grid16\riskhigh\dqn_control\grid16_riskhigh_r1p2_seed7_v11_episodes.csv
dqn_control,99,200,,1.2,-60.08044999999999,-60.08044999999999,results\v11\F1_highrisk\grid16\riskhigh\dqn_control\grid16_riskhigh_r1p2_seed99_v11_episodes.csv
simbiosis,101,200,,1.2,-13.644087480636312,-58.30449999999998,results\v11\F1_highrisk\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_seed101_v11_episodes.csv
simbiosis,13,200,,1.2,-13.71182532705207,-58.37755000000003,results\v11\F1_highrisk\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_seed13_v11_episodes.csv
simbiosis,42,200,,1.2,-13.740777877335356,-58.406050000000015,results\v11\F1_highrisk\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_seed42_v11_episodes.csv
simbiosis,7,200,,1.2,-13.728967062053348,-58.40644999999999,results\v11\F1_highrisk\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_seed7_v11_episodes.csv
simbiosis,99,200,,1.2,-13.814499859170246,-58.48220000000001,results\v11\F1_highrisk\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_seed99_v11_episodes.csv
control,101,200,,1.2,-56.264950000000006,-56.264950000000006,results\v11\F1_highrisk\grid8\riskhigh\control\grid8_riskhigh_r1p2_seed101_v11_episodes.csv
control,13,200,,1.2,-56.3517,-56.35170000000001,results\v11\F1_highrisk\grid8\riskhigh\control\grid8_riskhigh_r1p2_seed13_v11_episodes.csv
control,42,200,,1.2,-55.5973,-55.597300000000004,results\v11\F1_highrisk\grid8\riskhigh\control\grid8_riskhigh_r1p2_seed42_v11_episodes.csv
control,7,200,,1.2,-57.1237,-57.12369999999998,results\v11\F1_highrisk\grid8\riskhigh\control\grid8_riskhigh_r1p2_seed7_v11_episodes.csv
control,99,200,,1.2,-56.61955,-56.61955000000002,results\v11\F1_highrisk\grid8\riskhigh\control\grid8_riskhigh_r1p2_seed99_v11_episodes.csv
dqn_control,101,200,,1.2,-59.98825,-59.98825000000001,results\v11\F1_highrisk\grid8\riskhigh\dqn_control\grid8_riskhigh_r1p2_seed101_v11_episodes.csv
dqn_control,13,200,,1.2,-60.06354999999999,-60.063549999999985,results\v11\F1_highrisk\grid8\riskhigh\dqn_control\grid8_riskhigh_r1p2_seed13_v11_episodes.csv
dqn_control,42,200,,1.2,-60.0075,-60.00749999999997,results\v11\F1_highrisk\grid8\riskhigh\dqn_control\grid8_riskhigh_r1p2_seed42_v11_episodes.csv
dqn_control,7,200,,1.2,-60.01625,-60.01624999999997,results\v11\F1_highrisk\grid8\riskhigh\dqn_control\grid8_riskhigh_r1p2_seed7_v11_episodes.csv
dqn_control,99,200,,1.2,-60.08044999999999,-60.08044999999999,results\v11\F1_highrisk\grid8\riskhigh\dqn_control\grid8_riskhigh_r1p2_seed99_v11_episodes.csv
simbiosis,101,200,,1.2,-14.18808748063631,-58.98449999999994,results\v11\F1_highrisk\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_seed101_v11_episodes.csv
simbiosis,13,200,,1.2,-14.230225327052072,-59.02555000000001,results\v11\F1_highrisk\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_seed13_v11_episodes.csv
simbiosis,42,200,,1.2,-14.239977877335354,-59.03005000000002,results\v11\F1_highrisk\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_seed42_v11_episodes.csv
simbiosis,7,200,,1.2,-14.221767062053347,-59.022449999999964,results\v11\F1_highrisk\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_seed7_v11_episodes.csv
simbiosis,99,200,,1.2,-14.294499859170246,-59.082199999999986,results\v11\F1_highrisk\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_seed99_v11_episodes.csv
control,101,200,,1.2,-71.01464999999999,-71.01464999999986,results\v11\F2_redteam\grid16\riskhigh\control\grid16_riskhigh_r1p2_seed101_v11_episodes.csv
control,13,200,,1.2,-70.68085,-70.68085000000019,results\v11\F2_redteam\grid16\riskhigh\control\grid16_riskhigh_r1p2_seed13_v11_episodes.csv
control,42,200,,1.2,-70.8242,-70.82420000000002,results\v11\F2_redteam\grid16\riskhigh\control\grid16_riskhigh_r1p2_seed42_v11_episodes.csv
control,7,200,,1.2,-71.85300000000001,-71.85300000000002,results\v11\F2_redteam\grid16\riskhigh\control\grid16_riskhigh_r1p2_seed7_v11_episodes.csv
control,99,200,,1.2,-70.80400000000002,-70.80400000000016,results\v11\F2_redteam\grid16\riskhigh\control\grid16_riskhigh_r1p2_seed99_v11_episodes.csv
dqn_control,101,200,,1.2,-69.67325,-69.67324999999987,results\v11\F2_redteam\grid16\riskhigh\dqn_control\grid16_riskhigh_r1p2_seed101_v11_episodes.csv
dqn_control,13,200,,1.2,-68.81495,-68.81494999999987,results\v11\F2_redteam\grid16\riskhigh\dqn_control\grid16_riskhigh_r1p2_seed13_v11_episodes.csv
dqn_control,42,200,,1.2,-69.84525,-69.84524999999998,results\v11\F2_redteam\grid16\riskhigh\dqn_control\grid16_riskhigh_r1p2_seed42_v11_episodes.csv
dqn_control,7,200,,1.2,-71.77685,-71.77684999999992,results\v11\F2_redteam\grid16\riskhigh\dqn_control\grid16_riskhigh_r1p2_seed7_v11_episodes.csv
dqn_control,99,200,,1.2,-68.44949999999999,-68.4494999999999,results\v11\F2_redteam\grid16\riskhigh\dqn_control\grid16_riskhigh_r1p2_seed99_v11_episodes.csv
simbiosis,101,200,,1.2,-38.22453984857916,-68.74329999999992,results\v11\F2_redteam\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_seed101_v11_episodes.csv
