phase,agent,risk_scale,metric,n,mean,std,ci95_lo,ci95_hi,attack_enabled,attack_type,attack_params,p_boot,p_boot_holm
F0_baseline,control,0.5,reward_total,2,-20.0174,1.6619837785008618,-22.320791999999997,-17.714008,False,none,grid_size=16;risk_scale=0.5;risk_level=low;pgf_mix=0.2;episodes=100;seed=42;red_team=False;red_team_prob=0.0;red_team_impact=-1.0;red_team_move_tripwire_prob=0.4;red_team_add_shock_prob=0.3;red_team_block_prob=0.3,,
F0_baseline,dqn_control,0.5,reward_total,2,-24.0756,0.0,-24.0756,-24.0756,False,none,grid_size=16;risk_scale=0.5;risk_level=low;pgf_mix=0.2;episodes=100;seed=42;red_team=False;red_team_prob=0.0;red_team_impact=-1.0;red_team_move_tripwire_prob=0.4;red_team_add_shock_prob=0.3;red_team_block_prob=0.3,,
F0_baseline,simbiosis,0.5,reward_total,2,14.867118966745535,0.36203867196751516,14.36535896674553,15.36887896674554,False,none,grid_size=16;risk_scale=0.5;risk_level=low;pgf_mix=0.2;episodes=100;seed=42;red_team=False;red_team_prob=0.0;red_team_impact=-1.0;red_team_move_tripwire_prob=0.4;red_team_add_shock_prob=0.3;red_team_block_prob=0.3,,
F1_highrisk,control,1.2,reward_total,10,-56.82895499999999,0.5945319477678789,-57.19744971894981,-56.460460281050175,False,none,grid_size=16;risk_scale=1.2;risk_level=high;pgf_mix=0.2;episodes=200;seed=101;red_team=False,,
F1_highrisk,dqn_control,1.2,reward_total,10,-60.0311,0.03687028312581105,-60.05395243823996,-60.008247561760044,False,none,grid_size=16;risk_scale=1.2;risk_level=high;pgf_mix=0.2;episodes=200;seed=101;red_team=False,,
F1_highrisk,simbiosis,1.2,reward_total,10,-13.981471521249466,0.2714633928586112,-14.149726275316365,-13.813216767182567,False,none,grid_size=16;risk_scale=1.2;risk_level=high;pgf_mix=0.2;episodes=200;seed=101;red_team=False,,
F2_redteam,control,1.2,reward_total,10,-71.475665,0.6392104539760105,-71.87185174399588,-71.07947825600414,True,red_team_adversarial,grid_size=16;risk_scale=1.2;risk_level=high;pgf_mix=0.2;episodes=200;seed=101;red_team=True;red_team_prob=0.1;red_team_impact=-1.0;red_team_move_tripwire_prob=0.4;red_team_add_shock_prob=0.3;red_team_block_prob=0.3,,
F2_redteam,dqn_control,1.2,reward_total,10,-70.44824,1.2609342003715616,-71.22977511434435,-69.66670488565565,True,red_team_adversarial,grid_size=16;risk_scale=1.2;risk_level=high;pgf_mix=0.2;episodes=200;seed=101;red_team=True;red_team_prob=0.1;red_team_impact=-1.0;red_team_move_tripwire_prob=0.4;red_team_add_shock_prob=0.3;red_team_block_prob=0.3,0.0131973605278944,0.0131973605278944
F2_redteam,simbiosis,1.2,reward_total,10,-46.0050931628771,7.246183409808453,-50.49632417086782,-41.51386215488638,True,red_team_adversarial,grid_size=16;risk_scale=1.2;risk_level=high;pgf_mix=0.2;episodes=200;seed=101;red_team=True;red_team_prob=0.1;red_team_impact=-1.0;red_team_move_tripwire_prob=0.4;red_team_add_shock_prob=0.3;red_team_block_prob=0.3,0.0003999200159968,0.0007998400319936
F0_baseline,control,0.5,reward_env_total,2,-20.017400000000002,1.661983778500854,-22.32079199999999,-17.714008000000014,False,none,grid_size=16;risk_scale=0.5;risk_level=low;pgf_mix=0.2;episodes=100;seed=42;red_team=False;red_team_prob=0.0;red_team_impact=-1.0;red_team_move_tripwire_prob=0.4;red_team_add_shock_prob=0.3;red_team_block_prob=0.3,,
F0_baseline,dqn_control,0.5,reward_env_total,2,-24.075599999999994,0.0,-24.075599999999994,-24.075599999999994,False,none,grid_size=16;risk_scale=0.5;risk_level=low;pgf_mix=0.2;episodes=100;seed=42;red_team=False;red_team_prob=0.0;red_team_impact=-1.0;red_team_move_tripwire_prob=0.4;red_team_add_shock_prob=0.3;red_team_block_prob=0.3,,
F0_baseline,simbiosis,0.5,reward_env_total,2,-22.664900000000003,0.4525483399593908,-23.292100000000005,-22.0377,False,none,grid_size=16;risk_scale=0.5;risk_level=low;pgf_mix=0.2;episodes=100;seed=42;red_team=False;red_team_prob=0.0;red_team_impact=-1.0;red_team_move_tripwire_prob=0.4;red_team_add_shock_prob=0.3;red_team_block_prob=0.3,,
F1_highrisk,control,1.2,reward_env_total,10,-56.82895500000001,0.5945319477678763,-57.19744971894983,-56.46046028105019,False,none,grid_size=16;risk_scale=1.2;risk_level=high;pgf_mix=0.2;episodes=200;seed=101;red_team=False,,
